cat sitting next to a purple umbrella,COCO_val2014_000000038837.jpg
road construction area with traffic cones and a red light signal viewed from inside a car,COCO_val2014_000000006701.jpg
A person walking a dog on a leash in a dimly lit urban area at night,COCO_val2014_000000154053.jpg
a brown horse standing in a grassy field,COCO_val2014_000000275025.jpg
Stuffed animals arranged in a heart shape on a striped bedspread,COCO_val2014_000000466570.jpg
A man throwing a frisbee on a grassy field,COCO_val2014_000000219841.jpg
a small red and white plane flying in the sky,COCO_val2014_000000009426.jpg
a zebra and a foal walking across a grass field,COCO_val2014_000000371243.jpg
bench surrounded by plants and potterys,COCO_val2014_000000279145.jpg
Busy street crowded with people holding colorful umbrellas,COCO_val2014_000000466558.jpg
man pushing a cart full of bananas,COCO_val2014_000000145604.jpg
cat sniffing a mug on a countertop,COCO_val2014_000000200492.jpg
Two girls with long hair looking at a microwave in a kitchen,COCO_val2014_000000229000.jpg
Two men standing in the rain one holding an umbrella and speaking at a podium.,COCO_val2014_000000157214.jpg
Knife sliced apple pieces on a wooden cutting board apple peels and a whole apple on a table,COCO_val2014_000000329014.jpg
tennis player in white outfit on a clay court preparing to hit a ball with a racket,COCO_val2014_000000154090.jpg
A chair near a window with numerous potted plants outdoor garden visible through the window,COCO_val2014_000000381615.jpg
A pizza topped with various vegetables in an open box and two hands each making an offensive gesture,COCO_val2014_000000156687.jpg
a bowl filled with rosemary next to a decorative human face vase,COCO_val2014_000000022112.jpg
a dog with white fur enjoying a car ride reflected in a side mirror,COCO_val2014_000000028359.jpg
A man sleeping in bed with two cats and a book,COCO_val2014_000000397705.jpg
Rice with mixed vegetables roasted meat and a peeled banana on a decorative plate,COCO_val2014_000000140797.jpg
a rusted truck with a wooden flatbed parked on the side of a rural road,COCO_val2014_000000151842.jpg
A birthday cake with lit candles on a dining table surrounded by plates and a cup,COCO_val2014_000000192809.jpg
Two giraffes walking in an enclosure with large rocks and bare trees,COCO_val2014_000000160447.jpg
a collection of assorted bathroom fixtures on metal shelving in a warehouse,COCO_val2014_000000485628.jpg
a shopping center parking lot with a clock tower and cars,COCO_val2014_000000234910.jpg
person in green shirt diving to catch frisbee on beach group of people lying on sand tall buildings in background,COCO_val2014_000000554273.jpg
Two boats on a river with tall buildings in the background,COCO_val2014_000000423951.jpg
